Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49471138,The Girls I've Been,Tess Sharpe,"Sharpe, Tess",,0593111095,9780593111093,0,4.11,G.P. Putnam's Sons Books for Young Readers,Hardcover,336,2021,2021,,07/05/2021,to-read,to-read (#223),to-read,,,,0,0
30238163,"Ace of Shades (The Shadow Game, #1)",Amanda Foody,"Foody, Amanda",,1335692290,9781335692290,4,3.86,Harlequin Teen,Hardcover,411,2018,2018,,08/11/2020,,,read,,,,1,0
33643994,"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller,"Levenseller, Tricia",,1250095964,9781250095961,0,4,Feiwel  and Friends,Hardcover,311,2017,2017,,01/05/2021,to-read,to-read (#222),to-read,,,,0,0
31050237,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,"Maas, Sarah J.",,1526602318,9781526602312,4,4.43,Bloomsbury Publishing,Hardcover,757,2021,2021,,23/08/2020,,,read,,,,0,0
15811405,"The Iron Traitor (The Iron Fey: Call of the Forgotten, #2)",Julie Kagawa,"Kagawa, Julie",,,,0,4.1,Harlequin Teen,ebook,304,2013,2013,,29/04/2021,currently-reading,currently-reading (#15),currently-reading,,,,1,0
24920901,"The Deal (Off-Campus, #1)",Elle Kennedy,"Kennedy, Elle",,,,3,4.26,Elle Kennedy Inc.,Kindle Edition,342,2015,2015,29/04/2021,27/04/2021,,,read,,,,1,0
12614410,"The Lost Prince (The Iron Fey: Call of the Forgotten, #1)",Julie Kagawa,"Kagawa, Julie",,0373210574,9780373210572,4,4.03,Harlequin Teen,Paperback,377,2012,2012,,26/04/2021,,,read,,,,1,0
35702241,"The Shadows Between Us (The Shadows Between Us, #1)",Tricia Levenseller,"Levenseller, Tricia",,1250189969,9781250189967,0,3.87,Feiwel and Friends,Hardcover,326,2020,2020,,26/04/2021,to-read,to-read (#221),to-read,,,,0,0
44054122,"Imagine Me (Shatter Me, #6)",Tahereh Mafi,"Mafi, Tahereh",,006267644X,9780062676443,0,3.98,HarperCollins,ebook,480,2020,2020,,20/04/2021,currently-reading,currently-reading (#14),currently-reading,,,,1,0
34992959,"Defy Me (Shatter Me, #5)",Tahereh Mafi,"Mafi, Tahereh",,0062676393,9780062676399,4,4.29,HarperTeen,Hardcover,357,2019,2019,,12/04/2021,,,read,,,,1,0
34992929,"Restore Me (Shatter Me, #4)",Tahereh Mafi,"Mafi, Tahereh",,0062676369,9780062676368,4,4.18,HarperCollins,Hardcover,435,2018,2018,,12/04/2021,,,read,,,,1,0
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,,,4,4.47,HarperCollins ,Kindle Edition,421,2014,2014,,11/04/2021,,,read,,,,1,0
13104080,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,0062085530,9780062085535,4,4.18,HarperCollins ,Hardcover,461,2013,2013,,11/04/2021,,,read,,,,1,0
57039539,Temper the Flame,Jade  Church,"Church, Jade",,,9781909678170,0,3.25,Jade Church,ebook,,2021,2021,,09/04/2021,to-read,to-read (#220),to-read,,,,0,0
30264,"Dead Witch Walking (The Hollows, #1)",Kim Harrison,"Harrison, Kim",,0060572965,9780060572969,0,4.03,HarperTorch,Mass Market Paperback,416,2004,2004,,09/04/2021,to-read,to-read (#219),to-read,,,,0,0
50892212,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,"Gong, Chloe",,1534457690,9781534457690,0,3.92,Margaret K. McElderry Books,Hardcover,449,2020,2020,,05/04/2021,to-read,to-read (#218),to-read,,,,0,0
17699855,"Chain of Iron (The Last Hours, #2)",Cassandra Clare,"Clare, Cassandra",,140635810X,9781406358100,4,4.46,Walker Books,Hardcover,591,2021,2021,,22/05/2017,,,read,,,,1,0
49204960,Perfect on Paper,Sophie Gonzales,"Gonzales, Sophie",,1250769787,9781250769787,4,4.04,Wednesday Books,Hardcover,304,2021,2021,,21/03/2021,,,read,,,,1,0
40304179,"The Archer at Dawn (The Tiger at Midnight Trilogy, #2)",Swati Teerdhala,"Teerdhala, Swati",,,,4,3.91,Katherine Tegen Books,Hardcover,449,2020,2020,,03/02/2021,,,read,,,,1,0
42406067,Freaking Romance,NOT A BOOK,"BOOK, NOT A",,,,5,4.28,Line Webtoons,,,2018,,28/12/2020,02/02/2020,,,read,,,,1,0
42359655,Girl Upside Down,Nicole  Williams,"Williams, Nicole",,0553498851,9780553498851,0,3.7,Crown Books for Young Readers,Paperback,224,2019,2019,,10/03/2021,to-read,to-read (#217),to-read,,,,0,0
56980403,Vespertine,Margaret  Rogerson,"Rogerson, Margaret",,153447711X,9781534477117,0,4.14,Margaret K. McElderry Books,Hardcover,400,2021,2021,,10/03/2021,to-read,to-read (#216),to-read,,,,0,0
40131370,Girls at the Edge of the World,Laura Brooke Robson,"Robson, Laura Brooke",,,,0,4.01,Dial Books,Kindle Edition,416,2021,2021,,05/03/2021,to-read,to-read (#215),to-read,,,,0,0
53341666,"A Dark and Hollow Star (The Hollow Star Saga, #1)",Ashley Shuttleworth,"Shuttleworth, Ashley",,1534453679,9781534453678,0,3.82,Simon Pulse,Hardcover,512,2021,2021,,05/03/2021,to-read,to-read (#214),to-read,,,,0,0
41831210,"Pestilence (The Four Horsemen, #1)",Laura Thalassa,"Thalassa, Laura",,,,0,3.91,Laura Thalassa,Kindle Edition,381,2018,2018,,24/02/2021,to-read,to-read (#213),to-read,,,,0,0
30969741,An Enchantment of Ravens,Margaret  Rogerson,"Rogerson, Margaret",,1481497588,9781481497589,0,3.65,Margaret K. McElderry Books,Hardcover,304,2017,2017,,18/02/2021,to-read,to-read (#211),to-read,,,,0,0
54800094,"The Mortal Blade (Magelands Eternal Siege, #1)",Christopher       Mitchell,"Mitchell, Christopher",,,,0,4.24,Brigdomin Books Ltd ,Kindle Edition,446,2020,2020,,11/02/2021,to-read,to-read (#210),to-read,,,,0,0
36679274,"Sword Catcher (Sword Catcher, #1)",Cassandra Clare,"Clare, Cassandra",,0525619992,9780525619994,0,4.05,Del Rey Books,Hardcover,576,2023,2023,,03/02/2021,to-read,to-read (#209),to-read,,,,0,0
52123569,"Wings of Shadow (Crown of Feathers, #3)",Nicki Pau Preto,"Preto, Nicki Pau",,,,0,4.37,Margaret K. McElderry Books,Kindle Edition,704,2021,2021,,03/02/2021,to-read,to-read (#208),to-read,,,,0,0
55285911,"A Deal with the Elf King (Married to Magic, #1)",Elise Kova,"Kova, Elise",,1949694283,9781949694284,0,3.75,Silver Wing Press,Paperback,317,2020,2020,,03/02/2021,to-read,to-read (#207),to-read,,,,0,0
53422971,"These Hollow Vows (These Hollow Vows, #1)",Lexi Ryan,"Ryan, Lexi",,,,0,4.05,HMH,Kindle Edition,448,2021,2021,,03/02/2021,to-read,to-read (#206),to-read,,,,0,0
52190991,"Any Way the Wind Blows (Simon Snow, #3)",Rainbow Rowell,"Rowell, Rainbow",,1250254337,9781250254337,0,4.15,Wednesday Books,Hardcover,579,2021,2021,,03/02/2021,to-read,to-read (#205),to-read,,,,0,0
20618110,Solitaire,Alice Oseman,"Oseman, Alice",,,,4,3.91,Harper Collins Children's Books UK,Paperback,392,2014,2014,,26/01/2021,,,read,,,,1,0
27264289,This Winter,Alice Oseman,"Oseman, Alice",,0008147884,9780008147884,4,4.12,HarperCollins Children's Books,ebook,120,2015,2015,,26/01/2021,,,read,,,,1,0
54319549,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,,4,4.41,Blue Box Press,Kindle Edition,637,2020,2020,,24/01/2021,,,read,,,,1,0
40024121,"The Gilded Ones (The Gilded Ones, #1)",Namina Forna,"Forna, Namina",,,,0,4.02,Delacorte,Kindle Edition,432,2021,2020,,24/01/2021,to-read,to-read (#204),to-read,,,,0,0
52861201,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,1952457009,9781952457005,4,4.27,Blue Box Press,Paperback,613,2020,2020,,12/11/2020,,,read,,,,1,0
42201395,"Sorcery of Thorns (Sorcery of Thorns, #1)",Margaret  Rogerson,"Rogerson, Margaret",,1481497618,9781481497619,4,4.08,Margaret K. McElderry Books,Hardcover,456,2019,2019,,19/03/2019,,,read,,,,1,0
