Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
36634904,"Storm Glass (Harbinger, #1)",Jeff Wheeler,"Wheeler, Jeff",,,,0,4.19,47North,Kindle Edition,367,2018,2018,,08/03/2019,to-read,to-read (#146),to-read,,,,0,0,,Fantasy|647;Kindle Unlimited|114;Young Adult|111;Audible|94;Fiction|77;Ya|57;Series|56;Audiobooks|43;Steampunk|41;Audio|33;High Fantasy|28;Ya Fantasy|28;Magic|28;Jeff Wheeler|25;Wishlist|18;Science Fiction|16;Abandoned|16;Sci Fi|16;Kindle Books|15;Fantasy Sci Fi|14,16881
27883214,"Caraval (Caraval, #1)",Stephanie Garber,"Garber, Stephanie",,1250095255,9781250095251,4,4,Flatiron Books,Hardcover,407,2017,2016,,22/11/2018,,,read,,,,1,0,,Fantasy|12439;Young Adult|4437;Ya|2695;Romance|2581;Physical Tbr|2374;Series|1332;Fiction|1204;Ya Fantasy|1050;Magic|928;Mystery|864;Wishlist|687;Owned Books|610;Read In 2017|579;Audiobooks|570;Adventure|416;Want To Buy|411;Bookshelf|379;Owned Tbr|352;On My Shelf|350;My Library|339,337220
36329818,"Legendary (Caraval, #2)",Stephanie Garber,"Garber, Stephanie",,125009531X,9781250095312,0,4.22,Flatiron Books,Hardcover,451,2018,2018,,08/03/2019,to-read,to-read (#145),to-read,,,,0,0,,Fantasy|4626;Fantasy|4625;Young Adult|1741;Physical Tbr|1258;Romance|1134;Ya|968;Series|541;Ya Fantasy|495;Fiction|429;Magic|428;Audiobooks|337;Owned Books|329;Caraval|293;Mystery|282;Wishlist|250;Read In 2018|210;2018 Releases|194;2022 Reads|191;Bookshelf|190;Want To Buy|188,148952
29939390,"Windwitch (The Witchlands, #2)",Susan Dennard,"Dennard, Susan",,,,4,3.96,Tor Teen,Hardcover,384,2017,2017,,02/03/2019,,,read,,,,1,0,"2019-03-02,2019-03-05",Fantasy|1731;Young Adult|628;Ya|343;Magic|199;Ya Fantasy|173;Series|169;Physical Tbr|125;High Fantasy|121;2017 Releases|119;Witches|115;Owned Books|110;Read In 2017|94;Fiction|93;Romance|92;Owned Tbr|88;Adventure|66;Wishlist|65;Audiobooks|57;Read 2017|49;2017 Reads|49,20748
21414439,"Truthwitch (The Witchlands, #1)",Susan Dennard,"Dennard, Susan",,,,4,3.86,Tor Teen,Kindle Edition,416,2016,2016,,08/01/2019,,,read,,,,1,0,"2019-02-28,2019-03-03",Fantasy|5061;Young Adult|1836;Ya|1001;Magic|553;Series|524;Ya Fantasy|477;Romance|384;Witches|382;High Fantasy|335;Fiction|328;Physical Tbr|308;Owned Books|245;Wishlist|241;2016 Releases|225;Owned Tbr|202;Adventure|199;Read In 2016|184;Paranormal|161;Audiobooks|142;Read In 2017|106,49708
40611328,"Ishmael (Ishmael, #1)",Daniel Quinn,"Quinn, Daniel",,,,0,4,Bantam,Kindle Edition,338,2009,1992,,19/02/2019,to-read,to-read (#144),to-read,,,,0,0,,Fiction|1928;Philosophy|1034;Spirituality|229;Classics|215;Spiritual|154;Book Club|142;Fantasy|135;Environment|133;Novels|124;Non Fiction|121;Literature|103;Religion|88;School|71;Anthropology|60;Owned Books|55;General Fiction|55;My Library|54;Philosophical|54;Abandoned|53;Novel|53,92810
214579,"The Story of B (Ishmael, #2)",Daniel Quinn,"Quinn, Daniel",,0553379011,9780553379013,0,4.13,Bantam,Paperback,352,1997,1996,,19/02/2019,to-read,to-read (#143),to-read,,,,0,0,,Fiction|305;Philosophy|168;Spirituality|33;Environment|28;Novels|26;Religion|22;Spiritual|20;Literature|17;History|15;Anthropology|14;Non Fiction|14;Adult Fiction|10;Wishlist|10,10454
97008,"Love, Freedom, and Aloneness: The Koan of Relationships",Osho,"Osho, Osho",,0312291620,9780312291624,0,4.11,St. Martin's Griffin,Paperback,244,2002,2001,,19/02/2019,to-read,to-read (#142),to-read,,,,0,0,,Spirituality|76;Non Fiction|71;Osho|56;Philosophy|53;Self Help|39;Spiritual|37;Relationships|25;Psychology|19;Nonfiction|19;Religion|13;Love|10,5715
6596,The Four Agreements,Miguel Ruiz,"Ruiz, Miguel",à¸ à¸±à¸—à¸£à¸´à¸“à¸µ à¹€à¸ˆà¸£à¸´à¸à¸ˆà¸´à¸™à¸”à¸²,1878424505,9781878424501,0,4.18,Amber-Allen Publishing,Hardcover,168,2001,1997,,19/02/2019,to-read,to-read (#141),to-read,,,,0,0,,Self Help|3262;Non Fiction|2846;Spirituality|1474;Nonfiction|1165;Philosophy|1057;Spiritual|806;Self Improvement|771;Personal Development|713;Psychology|601;Self Development|372;Personal Growth|302;Inspirational|226;My Library|166;Religion|164;Growth|159;Audiobooks|157;Self|141;Book Club|128;Audible|120;Business|113,328073
81939,The mastery of love,Miguel Ruiz,"Ruiz, Miguel",,1878424440,9781878424440,0,4.26,Amber-Allen Publishing,Hardcover,240,2002,1999,,19/02/2019,to-read,to-read (#140),to-read,,,,0,0,,Self Help|462;Non Fiction|339;Spirituality|295;Relationships|191;Spiritual|156;Nonfiction|150;Philosophy|130;Psychology|107;Self Improvement|96;Personal Development|93;Love|74;Relationship|58;Self Development|50;Wishlist|37;Personal Growth|37;Inspirational|36;My Library|31;Life|24;Self|19;Must Read|19,48225
